username,caption,tanggal_posting,tagged_users,likes
ceritanupi,SENESENENG BANGETTTTTTT ?? KITA JANGAN LENGAH YAAAAAAAA NG BANGETTTTTTT ?? KITA JANGAN LENGAH YAAAAAAAA ,10/18/2025,greenpeaceid,203
merawatpapua,"Alhmdllh, tp jangan senang dulu min @greenpeaceid nanti kayak di sangihe, biarpun menang tp tambang tetap lanjut, jd kita tetap dipantau rame2 ya ",10/18/2025,greenpeaceid,"2,278"
anggirospidia,Kawal terus netijen! PT Gag harus berhenti!! Perjuangan untuk bumi pertiwi masih belum selesai!,10/18/2025,sesiminerba,315
hisan_k,Kekayaan Alam kita sedang diobral ,10/18/2025,greenpeaceid,480
nadyasatriani,"Udah dianak tirikan, dirampas pula alamnya, miris",10/11/2025,greenpeaceid,436
cintyahelelnve,"sumpah, kasus ini paling bikin marah dan kecewa??",10/18/2025,greenpeaceid,73
iwanridwan,"Ini bkn ttg rajaampat saja, tp cakupan luas unt semua daerah lainnya.",10/26/2025,greenpeaceid,38
raypradana,"Mau dialog sampai berbusa melihat alam kita dibinasakan, atau.. ????????????",10/18/2025,whatisupindonesia,4
man_setiawan,SAVE RAJA AMPAT??????,10/18/2025,bullart_design,4
musviraaa_,"Betul, Jangan ada tambang di tanah Rajaampat papua????",10/18/2025,bullart_design,2
deddyawfoa,PAPUA BUKAN TANAH KOSONG! ???,10/18/2025,bullart_design,1
gt_arch,PAPUA BUKAN TANAH KOSONG???????? Tolak TAMBANG DI TANAH PAPUA!!!,10/18/2025,bullart_design,2
orthisz_erkotanggiz,Tolak Segala bentuk Kejahatan NEGARA INDONESIA RAKUS DI PAPUA,10/18/2025,bullart_design,0
bullart_design,TOLAK TAMBANG DI RAJA AMPAT!!!!??????sebuah keadaan darurat dari salah satu jantung indonesia timur. Daratan sekitar RAJA AMPAT telah di keruk oleh perusahaan tambang dan di LEGALKAN oleh pemerintah sendiri (miris).  oksigen yang buat kita hidup tak bisa di ganti dengan debu yang kita hirup!!,10/18/2025,kritikberkelas,209
rafatamlikha,"Smoga bisa hijau lagi.. Aamiin. Jaya Selalu Negeriku, Indonesia Emas 2045. Harapan atau Tantangan yang akan datang, akan selalu menunggu untuk dijemput kita semua ???",10/18/2025,rian.fahardhi,299
_elyoraputrii,"Rame dulu baru di hentikan, miris:(",10/18/2025,rian.fahardhi,637
greenpeace,"Apakah Presiden @prabowo dan Menteri @bahlillahadalia pernah baca soal dongeng angsa bertelur emas? Kalau belum pernah, kami coba rangkumkan. *berkata dengan nada rendah dan lembut.

Menambang nikel di Raja Ampat ibarat menyembelih angsa yang bertelur emas.

Tak sulit untuk berpikir bahwa Alam Raja Ampat bahkan kalau didiamkan pun akan mendatangkan kesejahteraan buat masyarakat dan pemerintah. Namun pemerintah malah melego sejumlah izin tambang di kawasan itu, termasuk di pulau-pulau kecil. Izin tambang cuma bakal merusak hutan, sumber air, sungai, dan laut; menghilangkan keanekaragaman hayati; merampas hak-hak masyarakat; dan menghancurkan masa depan pariwisata yang sudah mendunia.",10/11/2025,prabowo,436
dheamw93,"Alhamdulillah, tapi tetap pantau, JANGAN LENGAH gaes!!!! #SAVERAJAAMPAT",10/18/2025,rian.fahardhi,638
putrimeltaa,Tetep kawal yagesyaa jgn sampe kecolongan ??????,10/18/2025,rian.fahardhi,54
